method,clean_acc,ece,nll,ood_auroc,ood_aupr,ood_fpr95,disagreement,error_corr,pgd_acc_eps_0.0078,pgd_acc_eps_0.0157,pgd_acc_eps_0.0314
single,0.8828,0.034977800381183644,0.3820752799510956,0.838917032882606,0.7679787201553753,0.7827289489858635,0.0,0.0,0.1375,0.0055,0.0005
random,0.8699,0.03604209999442101,0.41377684473991394,0.8430116068684694,0.7704622593189453,0.7891057160417947,0.006193333333333334,0.9788170764061002,0.1195,0.0175,0.005
orthogonal,0.8702,0.036150205373764066,0.41293418407440186,0.8419106772433927,0.7662902599319026,0.7854947756607252,0.00544,0.9811117713437273,0.119,0.0175,0.006
adversarial,0.8402,0.08944098049700261,0.5428587198257446,0.8228303856791641,0.7627220428928215,0.8468039336201598,0.21249999999999997,0.49246835882591855,0.1135,0.0045,0.0
