epoch,train_loss,train_acc,test_acc,test_ece,test_nll
1,1.8508035950171642,0.3510216346153846,0.3853,0.10209213413447142,1.6557968854904175
2,1.3448524786875797,0.5638822115384615,0.6294,0.025345868584513653,1.0417537689208984
3,1.0701670761291797,0.6831330128205129,0.6881,0.022304919908940794,0.8997182846069336
4,0.9071440945833157,0.754707532051282,0.7371,0.018173060660064223,0.7887649536132812
5,0.7923097329261976,0.7987179487179488,0.7832,0.012388824018836016,0.6626990437507629
6,0.6966179092725118,0.8394831730769231,0.8237,0.021636208656430223,0.5456185340881348
7,0.6183007733944135,0.8698918269230769,0.8574,0.02406774518191812,0.4483247995376587
8,0.561433361356075,0.893389423076923,0.8828,0.034977800381183644,0.3820752799510956
